retailer,brand,bras_bottoms,color,size,title,pdp_title,link,2026-06-27_price,2026-06-27_discount,last_run
Target,Hanes,Bottoms,Assorted,S,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary S,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701588,18.99,,2026-06-27T20:37:42-04:00
Target,Hanes,Bottoms,Assorted,M,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary M,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701589,18.99,,2026-06-27T20:37:42-04:00
Target,Hanes,Bottoms,Assorted,L,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary L,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701590,18.99,,2026-06-27T20:37:42-04:00
Target,Hanes,Bottoms,Assorted,XL,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary XL,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701591,18.99,,2026-06-27T20:37:42-04:00
Target,Hanes,Bottoms,Assorted,2XL,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary XXL,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701592,18.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,All,Hanes Women's 6pk Comfort Flex Fit Seamless Bikini Underwear - Colors May Vary,"Hanes Women's 6pk Comfort Flex Fit Seamless Bikini Underwear - Colors May Vary L: Breathable, Low Rise, Knit Fabric",https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-bikini-underwear-colors-may-vary/-/A-85864825?preselect=85701623,16.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,,S,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary S,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701626,18.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,M,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary M,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701627,18.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,,L,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamles Underwear - Colors May Vary L,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701629,18.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,XL,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary XL,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701630,18.99,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,,P6 Cotton,"Fruit of the Loom Women's Cotton Brief Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Cotton-Brief-Underwear-6-Pack/971586734,11.48,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,,P10 Cotton Brief,"Fruit of the Loom Women's Cotton Brief Underwear, 10-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Brief-Underwear-10-Pack/397061451,16.98,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,,P10 Cotton Bikini,"Fruit of the Loom Women's Cotton Bikini Underwear, 10-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Cotton-Bikini-Underwear-10-Pack/143867866,10.07,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,M,P6 Microfiber Briefs M,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/110037290,13.48,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,L,P6 Microfiber Briefs L,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/142502585,13.48,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,XL,P6 Microfiber Briefs XL,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/209599705,13.48,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,2XL,P6 Microfiber Briefs 2XL,,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/322365944,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,3XL,P6 Microfiber Briefs 3XL,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/360755628,13.48,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,XS,P6 Microfiber Bikini XS,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/970292239,16.16,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,S,P6 Microfiber Bikini S,,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/578134430,,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,White,8 US,"Hanes Women's Underwear Briefs Pack, 10-Pack, Cotton Panties for Women, Moisture-Wicking, Full Coverage","Hanes Women's Underwear Pack, 10-Pack, Full-Coverage Cotton Blend Panties, Moisture-Wicking Underwear for Women",https://www.amazon.com/dp/B00FZR19OE,11.38,,2026-06-27T20:40:56-04:00
Amazon,Fruit of the Loom,Bottoms,Assorted,7,"Fruit of the Loom Women's Breathable Underwear, Moisture Wicking Keeps You Cool & Comfortable, Available in Plus Size","Fruit of the Loom womens Breathable Underwear, Moisture Wicking Keeps You Cool & Comfortable, Available in Plus Size",https://www.amazon.com/dp/B07QQTN26P,14.5,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,Assorted,,"Hanes Women's Originals Bikini Panties, Breathable Stretch Cotton Underwear, Assorted, 6-Pack","Hanes Women's Originals Bikini Panties, Breathable Stretch Cotton Underwear, Assorted, 6-pack",https://www.amazon.com/dp/B0BQZ91NYP,14.24,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,10-pack Black; All White; Assorted Solids/Prints/Heathers; Pink/Black/Grey Heather/Navy/Tea Floral/White; Solid/Print Mix; All Black,,"Hanes Women's Bikini/Brief/Hi-Cut/High-Waist Underwear Pack, 10-Pack, Full-Coverage Cotton Blend","Hanes Women's Underwear Pack, 10-Pack, Full-Coverage Cotton Blend Panties, Moisture-Wicking Underwear for Women",https://www.amazon.com/dp/B0GF9TYXT1,,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,Assorted Colors,,"Hanes Women's Comfort Flex Fit Seamless Underwear Pack, 6-Pack","Hanes Women's Seamless Underwear Pack, Comfort Flex Fit Bikini Boyshort or Thong Panties, 6-Pack",https://www.amazon.com/dp/B0B4RM7T4X,13.53,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,Basic Color Mix,,"Hanes Originals Women's Bikini Panties, Stretch Cotton, Basic Assorted Colors, 6-Pack","Hanes Women's Originals Bikini Panties, Breathable Stretch Cotton Underwear, Assorted, 6-pack",https://www.amazon.com/dp/B0BQZ76SDF,14.24,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,Assorted; Solid/Heather/Print Mix; Assorted Mix; White,,"Hanes Women's Signature Cotton Breathe Briefs Underwear Pack, 6-Pack","Hanes Women's Signature Cotton Breathe Briefs Underwear Pack, 6-Pack (Colors May Vary)",https://www.amazon.com/dp/B07PYB6P1V,15.26,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,Solid/Print Mix,,JUST MY SIZE by Hanes Women's Cool Comfort Cotton High 6-Pack Briefs,"Hanes Women's Underwear Briefs Pack, 6-Pack, Cotton Brief Panties for Women, Moisture-Wicking (Plus Size)",https://www.amazon.com/dp/B0CRTB52LM,,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,White/Navy/Black,,"Hanes Women's Cotton Bikini Panty, 6-Pack, 42H6CC","Hanes Women's Cotton Bikini Panty - 6 Pack, 42H6CC, White/Navy/Black, 7",https://www.amazon.com/dp/B0DMT6Y7G7,24.95,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,Assorted Colors; 6-pack Hipsters,,"Hanes Women's Organic Cotton Panties Pack, ComfortSoft Underwear, 6-Pack Hipsters","Hanes Women's Organic Cotton Panties Pack, ComfortSoft Underwear, 6-Pack (Colors May Vary)",https://www.amazon.com/dp/B0C39J9BX4,12.54,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,7,"Hanes Women's Hi-Cuts Underwear, 5-Pack","Hanes Women's Hi-Cuts Underwear, Size 7 - 5 Pack",https://www.dollargeneral.com/p/hanes-women-s-hi-cuts-underwear-size-7-5-pack/738994528025,10.0,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,Assorted,,Hanes Assorted Ladies Cotton Tagless Briefs,"Hanes Assorted Ladies Cotton Tagless Briefs, Size 7, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-pk/90563958238,10.0,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,8,"Hanes Women's Hi-Cuts Underwear, 5 pack","Hanes Women's Hi-Cuts Underwear, Size 8 - 5 Pack",https://www.dollargeneral.com/p/hanes-women-s-hi-cuts-underwear-size-8-5-pack/738994528032,10.0,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,9,"Hanes Women's Hi-Cuts Underwear, 5 pack","Hanes Women's Hi-Cuts Underwear, Size 9 - 5 Pack",https://www.dollargeneral.com/p/hanes-women-s-hi-cuts-underwear-size-9-5-pack/738994528049,10.0,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,10,"Hanes Women's Hi-Cuts Underwear, 5 pack","Hanes Women's Hi-Cuts Underwear, Size 10 - 5 Pack",https://www.dollargeneral.com/p/hanes-women-s-hi-cuts-underwear-size---pack/738994528056,10.0,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,6,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk","Hanes Assorted Brief Ladies, Size 6, 5 ct",https://www.dollargeneral.com/p/hanes-assorted-brief-ladies-size-6-5-ct/90563958221,8.1,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,7,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk","Hanes Assorted Ladies Cotton Tagless Briefs, Size 7, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-pk/90563958238,10.0,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,8,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk","Hanes Assorted Ladies Cotton Tagless Briefs, Size 8, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-pk/90563958245,10.0,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,9,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk","Hanes Assorted Ladies Cotton Tagless Briefs, Size 9, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-pk/90563958252,10.0,,2026-06-27T20:40:56-04:00
Dollar General,Hanes,Bottoms,,10,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk","Hanes Assorted Ladies Cotton Tagless Briefs, Size 10, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-10-5-pk/090563958269,10.0,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,,Hanes Ultimate 5-Pack ComfortSoft Brief Panties,Hanes Ultimate® 5-Pack ComfortSoft Brief Panties Underwear 40W5CS,https://www.jcpenney.com/p/hanes-ultimate-5-pack-comfortsoft-brief-panties-underwear-40w5cs/ppr5008614875?pTmplType=regular,16.96,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,,Hanes Ultimate Cool Comfort Cotton Ultra Soft High-Cut Panty 6-Pack,Hanes Ultimate™ Cool Comfort™ Cotton Ultra Soft Womens Average + Full Figure 6 Pack Cooling Multi-Pack High Cut Panty 43h6cc,https://www.jcpenney.com/p/hanes-ultimate-cool-comfort-cotton-ultra-soft-womens-average-full-figure-6-pack-cooling-multi-pack-high-cut-panty-43h6cc/ppr5008702479?pTmplType=regular&deptId=dept20000013&catId=cat100240035&rrplacementtype=pdppla1_jrecs,14.29,,2026-06-27T20:40:56-04:00
JCPenney,Jockey,Bottoms,,,Jockey Elance 3-Pack Brief Panty,Jockey® Elance® 3 Pack Brief Panty - 1484,https://www.jcpenney.com/p/jockey-elance-3-pack-brief-panty-1484/pp5004000016?pTmplType=regular&deptId=dept20000013&catId=cat100240035&rrplacementtype=pdp1_jrecs&criteriaName=E0_Seq_Jewelry_YesPlease_Aug2024_Default_Version2,16.96,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,,Hanes Cotton Men's 4-Pack Boxer Briefs,Hanes Cotton Mens 4 Pack Boxer Briefs J742a4,https://www.jcpenney.com/p/hanes-cotton-mens-4-pack-boxer-briefs-j742a4/ppr5008692518?pTmplType=regular&searchTerm=hanes+underwear&geoZip=37901,30.0,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,,Hanes Men's Ultimate 3-Pack Moves X-Temp Boxer Brief Underwear,Hanes® Men's Ultimate 3-Pack Moves X-TEMP® Cotton Stretch Boxer Brief Underwear with Total Support Pouch™ Um6ba3,https://www.jcpenney.com/p/hanes-mens-ultimate-3-pack-moves-x-temp-cotton-stretch-boxer-brief-underwear-with-total-support-pouch-um6ba3/ppr5008679504?pTmplType=regular&deptId=dept20000014&catId=cat100290089&rrplacementtype=pdp1_jrecs&criteriaName=E0_Seq_Jewelry_YesPlease_Aug2024_Default_Version2,16.96,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,5,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,16.96,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,6,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,16.96,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,7,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,16.96,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,8,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,16.96,,2026-06-27T20:40:56-04:00
JCPenney,Hanes,Bottoms,,9,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,16.96,,2026-06-27T20:40:56-04:00
